date,text,img_path
14 Nov 23,"SEND TRAIN
Kyle Knapp
6B+
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/SEND_TRAIN.png
14 Nov 23,"SWITCHEROO
Alfred Wold Oftebro
6C
Feet follow hands
You rated this problem
3rd try
40° MoonBoard",./images/SWITCHEROO.png
14 Nov 23,"FLOAT LIKE A BUTTERFLY
Kyle Knapp
6C
Feet follow hands
Project
40° MoonBoard
3",./images/FLOAT_LIKE_A_BUTTERFLY.png
09 Nov 23,"MOONING
levi jackson
6C
Feet follow hands
Project
40° MoonBoard
2",./images/MOONING.png
09 Nov 23,"ATAUALPA
Ale Alekos
6C
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/ATAUALPA.png
09 Nov 23,"JUST ANOTHER DAY
Reuben Mardan
6C
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/JUST_ANOTHER_DAY.png
09 Nov 23,"ATTILALALA
Simon Sjöstrand
6C
Feet follow hands
Project
40° MoonBoard
2",./images/ATTILALALA.png
21 Oct 23,"WARM UP 1031
lyndsey
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/WARM_UP_1031.png
21 Oct 23,"IN MY APPROACH SHOES...
Kyle Knapp
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/IN_MY_APPROACH_SHOES....png
17 Oct 23,"DIVESTMENT PLAN
will winham
6B+
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/DIVESTMENT_PLAN.png
17 Oct 23,"YOU GET A CAR
Mfi
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/YOU_GET_A_CAR.png
17 Oct 23,"CIAO BAMBINO
Krzysztof Lewko
6B+
Feet follow hands
You rated this problem
3rd try
40° MoonBoard",./images/CIAO_BAMBINO.png
17 Oct 23,"SOLIDARITY
Kilgour22
6B+
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/SOLIDARITY.png
17 Oct 23,"I'M NOT A SETTER
Emilee Sudweeks
6B+
Feet follow hands
Project
40° MoonBoard",./images/I'M_NOT_A_SETTER.png
17 Oct 23,"FORSØK 25
atoneni
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/FORSØK_25.png
17 Oct 23,"EASY DOES IT
Reuben Mardan
6B+
Feet follow hands
Project
40° MoonBoard
2",./images/EASY_DOES_IT.png
14 Oct 23,"MOONING
levi jackson
6C
Feet follow hands
Project
40° MoonBoard
3",./images/MOONING.png
10 Oct 23,"LE UOVA SODE
Ale Alekos
6C
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/LE_UOVA_SODE.png
10 Oct 23,"ELANOMOUS
Andrew Smythe
6C
Feet follow hands
You rated this problem
3rd try
40° MoonBoard",./images/ELANOMOUS.png
10 Oct 23,"SLAB TRAINING
erik massih
6C
Feet follow hands
You rated this problem
3rd try
40° MoonBoard",./images/SLAB_TRAINING.png
07 Oct 23,"QUARANTINE #4
Erin Daniel
6B+
Feet follow hands
You rated this problem
3rd try
40° MoonBoard",./images/QUARANTINE_#4.png
07 Oct 23,"TRAINING WHEEL
Andrew
6B+. You graded this problem 6B+.
Feet follow hands
Project (2)
40° MoonBoard",./images/TRAINING_WHEEL.png
07 Oct 23,"HATHA YOGA
janezkranjski
6B+. You graded this problem 6B+.
Feet follow hands
Project (2)
40° MoonBoard",./images/HATHA_YOGA.png
07 Oct 23,"ATAUALPA
Ale Alekos
6C
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/ATAUALPA.png
03 Oct 23,"WUTHERING HEIGHTS
Ben Moon
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/WUTHERING_HEIGHTS.png
03 Oct 23,"TE GUSTA?
Paul Robinson
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/TE_GUSTA?.png
03 Oct 23,"THE SPLATTER EFFECT
Ian Cavanaugh
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/THE_SPLATTER_EFFECT.png
03 Oct 23,"FORSØK 17
atoneni
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/FORSØK_17.png
03 Oct 23,"EASY DOES IT
Reuben Mardan
6B+. You graded this problem 6B+.
Feet follow hands
Project (2)
40° MoonBoard",./images/EASY_DOES_IT.png
28 Sep 23,"WUTHERING HEIGHTS
Ben Moon
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/WUTHERING_HEIGHTS.png
28 Sep 23,"STANDARD AND POOR'S
Vincent Minecci
6B+
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/STANDARD_AND_POOR'S.png
28 Sep 23,"I'M NOT A SETTER
Emilee Sudweeks
6B+. You graded this problem 6B+.
Feet follow hands
Project (2)
40° MoonBoard",./images/I'M_NOT_A_SETTER.png
