date,ename,ereps,kg,duration
2023-11-28,deadlift,4,80.0,156.0
2023-11-27,HB: IMR 20mm,1,62.0,10.0
2023-11-27,HB: IMR 20mm,1,62.0,10.0
2023-11-27,HB: IMR 20mm,1,62.0,10.0
2023-11-27,HB: IMR 20mm,1,62.0,10.0
2023-11-27,HB: IMR 20mm,1,62.0,10.0
2023-11-27,HB: IMR 20mm,1,62.0,10.0
2023-11-27,HB: IMR 20mm,1,62.0,10.0
2023-11-27,HB: IMR 20mm,1,62.0,10.0
2023-11-26,benchpress,3,60.0,30.0
2023-11-26,HB: SC 20mm,10,102.5,30.0
2023-11-26,benchpress,3,60.0,30.0
2023-11-26,benchpress,3,60.0,30.0
2023-11-26,benchpress,3,60.0,30.0
2023-11-26,benchpress,3,60.0,30.0
2023-11-26,HB: SC 20mm,10,102.5,30.0
2023-11-26,HB: SC 20mm,5,102.5,30.0
2023-11-26,weighted pull up,3,106.5,30.0
2023-11-26,HB: IMR 20mm,10,86.0,30.0
2023-11-26,weighted pull up,3,106.5,30.0
2023-11-26,HB: IMR 20mm,10,86.0,30.0
2023-11-26,weighted pull up,3,106.5,30.0
2023-11-26,HB: IMR 20mm,10,86.0,30.0
2023-11-26,weighted pull up,3,106.5,30.0
2023-11-26,weighted pull up,3,106.5,30.0
2023-11-23,benchpress,4,60.0,30.0
2023-11-23,deadlift,3,130.0,30.0
2023-11-23,deadlift,3,130.0,30.0
2023-11-23,benchpress,3,60.0,30.0
2023-11-23,benchpress,3,60.0,30.0
2023-11-23,deadlift,3,130.0,30.0
2023-11-21,deadlift,3,135.0,30.0
2023-11-21,deadlift,3,135.0,30.0
2023-11-21,deadlift,1,135.0,30.0
2023-11-21,HB: SC 20mm,10,100.0,30.0
2023-11-21,HB: SC 20mm,10,100.0,30.0
2023-11-21,HB: SC 20mm,10,100.0,30.0
2023-11-21,HB: IMR 20mm,10,82.5,30.0
2023-11-21,deadlift,3,130.0,30.0
2023-11-21,HB: IMR 20mm,10,82.5,30.0
2023-11-21,deadlift,2,130.0,30.0
2023-11-21,HB: IMR 20mm,10,82.5,30.0
2023-11-21,HB: IMR 20mm,10,82.5,30.0
2023-11-16,weighted pull up,3,103.0,30.0
2023-11-16,weighted pull up,3,103.0,30.0
2023-11-16,weighted pull up,3,103.0,30.0
2023-11-16,weighted pull up,3,103.0,30.0
2023-11-14,HB: SC 20mm,1,100.0,30.0
2023-11-14,HB: SC 20mm,1,95.0,30.0
2023-11-14,deadlift,4,130.0,30.0
2023-11-14,deadlift,3,130.0,30.0
2023-11-14,HB: SC 20mm,1,100.0,30.0
2023-11-14,deadlift,3,130.0,30.0
2023-11-14,deadlift,3,130.0,30.0
2023-11-14,HB: SC 20mm,1,100.0,30.0
2023-11-14,deadlift,3,130.0,30.0
2023-11-14,HB: SC 20mm,1,100.0,30.0
2023-11-09,benchpress,1,60.0,30.0
2023-11-09,benchpress,1,70.0,30.0
2023-11-04,deadlift,3,120.0,30.0
2023-11-04,deadlift,3,120.0,30.0
2023-11-04,benchpress,3,60.0,30.0
2023-11-04,deadlift,3,120.0,30.0
2023-11-04,deadlift,3,120.0,30.0
2023-11-04,benchpress,3,60.0,30.0
2023-11-04,benchpress,3,60.0,30.0
2023-11-04,benchpress,3,60.0,30.0
2023-10-21,benchpress,5,50.0,30.0
2023-10-21,deadlift,5,100.0,30.0
2023-10-21,deadlift,5,100.0,30.0
2023-10-21,deadlift,5,100.0,30.0
2023-10-21,benchpress,5,50.0,30.0
2023-10-21,benchpress,5,50.0,30.0
2023-10-17,benchpress,5,40.0,30.0
2023-10-17,benchpress,5,40.0,30.0
2023-10-17,benchpress,5,40.0,30.0
2023-10-17,deadlift,5,90.0,30.0
2023-10-17,deadlift,5,90.0,30.0
2023-10-17,deadlift,5,90.0,30.0
2023-10-14,deadlift,3,140.0,30.0
2023-10-14,benchpress,4,70.0,30.0
2023-10-14,benchpress,3,70.0,30.0
2023-10-14,benchpress,2,70.0,30.0
2023-10-14,deadlift,3,140.0,30.0
2023-10-14,deadlift,3,140.0,30.0
2023-10-14,deadlift,3,140.0,30.0
2023-10-10,benchpress,5,65.0,30.0
2023-10-10,benchpress,6,65.0,30.0
2023-10-10,benchpress,6,65.0,30.0
2023-10-10,deadlift,5,135.0,30.0
2023-10-10,deadlift,5,135.0,30.0
2023-10-10,deadlift,5,135.0,30.0
2023-10-07,deadlift,1,140.0,30.0
2023-10-07,deadlift,3,140.0,30.0
2023-10-05,benchpress,6,65.0,30.0
2023-10-05,benchpress,5,65.0,30.0
2023-10-05,benchpress,6,65.0,30.0
2023-10-04,deadlift,3,130.0,30.0
2023-10-04,deadlift,5,70.0,30.0
2023-10-03,deadlift,3,140.0,30.0
2023-10-03,deadlift,3,140.0,30.0
2023-10-03,deadlift,3,140.0,30.0
2023-09-28,deadlift,3,135.0,30.0
2023-09-28,deadlift,4,135.0,30.0
2023-09-28,deadlift,2,140.0,30.0
2023-09-28,benchpress,5,65.0,30.0
2023-09-28,benchpress,5,65.0,30.0
2023-09-28,benchpress,5,65.0,30.0
2023-09-28,deadlift,4,135.0,30.0
2023-09-26,benchpress,2,70.0,30.0
2023-09-26,benchpress,2,70.0,30.0
2023-09-22,deadlift,3,135.0,30.0
2023-09-22,weighted pull up,6,95.0,30.0
2023-09-22,deadlift,3,135.0,30.0
2023-09-22,weighted pull up,6,95.0,30.0
2023-09-20,benchpress,6,60.0,30.0
2023-09-20,benchpress,6,60.0,30.0
2023-09-20,benchpress,6,60.0,30.0
2023-09-20,benchpress,6,60.0,30.0
2023-09-18,benchpress,6,60.0,30.0
2023-09-18,benchpress,6,60.0,30.0
2023-09-18,benchpress,6,60.0,30.0
